category,sample,p-value test,country,year,coef,std.error,t-stat,p-value,Signif.
Road Transportation no resuspension,,0.001,Austria,2013,0.1157127,0.0192321,6.0167,4.50E-09,***
Road Transportation no resuspension,EU31 ,0.05,Austria,2001,0.1600555,0.0234879,6.8144,2.00E-11,***
Road Transportation no resuspension,,0.05,Austria,2013,0.1038157,0.0204737,5.0707,5.04E-07,***
Road Transportation no resuspension,,0.01,Austria,2002,0.1910723,0.0238128,8.0239,4.03E-15,***
Road Transportation no resuspension,,0.001,Austria,2002,0.2049611,0.0263052,7.7917,2.21E-14,***
Solid Fuels,EU15 ,0.05,Austria,2015,0.790587,0.1627,4.8592,2.05E-06,***
Solid Fuels,,0.01,Austria,2015,0.84352,0.17116,4.9283,1.43E-06,***
Solid Fuels,EU31 ,0.05,Austria,2015,0.736149,0.159907,4.6036,5.21E-06,***
Solid Fuels,,0.01,Austria,2015,0.790049,0.169368,4.6647,3.92E-06,***
Urea application,EU15 ,0.05,Austria,2010,0.901529,0.100951,8.9304,2.20E-16,***
Urea application,,0.01,Austria,2010,0.928854,0.112877,8.2289,7.63E-15,***
Urea application,,0.001,Austria,2010,0.954342,0.119391,7.9934,3.65E-14,***
Urea application,EU31 ,0.05,Austria,2010,0.990296,0.107207,9.2372,2.20E-16,***
Urea application,,0.01,Austria,2010,0.887296,0.131879,6.7281,4.29E-11,***
Urea application,,0.001,Austria,2010,0.892998,0.138835,6.4321,2.63E-10,***
Water-borne Navigation,EU15 ,0.05,Austria,2007,-0.214128,0.053255,-4.0208,7.33E-05,***
Water-borne Navigation,,0.01,Austria,2007,-0.220208,0.057531,-3.8276,0.0001557,***
Water-borne Navigation,EU31 ,0.05,Austria,2006,-0.2598909,0.0645436,-4.0266,6.44E-05,***
Water-borne Navigation,,0.01,Austria,2006,-0.24927,0.071978,-3.4631,0.0005734,***
